Feature,Win_Corr,Lose_Corr,Diff
xpDiff,0.4817710639220064,-0.2387865554737875,0.7205576193957939
levelDiff,0.3964362106985424,-0.17431975645952294,0.5707559671580653
killsDiff,0.3158347515683086,-0.0223133471156597,0.3381480986839683
csDiff,0.27179024300133325,-0.06106501983878737,0.3328552628401206
damageDiff,0.2605044447869713,-0.02817260691996134,0.28867705170693264
KDA,0.5344779548031091,0.4358224087217702,0.09865554608133892
objectiveParticipation,0.8092244633248188,0.7267182755056228,0.08250618781919594
deaths,0.677571989892883,0.7410094158333981,0.06343742594051505
soloKills,0.41736146103897176,0.38939739252596156,0.0279640685130102
kills,0.8470209099219969,0.8262979494752517,0.020722960446745153
assists,0.783100536852522,0.762436093804672,0.02066444304784998
minionsKilled,0.8086411231021844,0.7965422479121831,0.012098875190001301
totalDamageDoneToChampions,0.9170335411678172,0.9080987900176755,0.008934751150141751
wardsPlaced,0.208154559131033,0.2166029302810039,0.008448371149970907
damageShare,0.5192641623920011,0.511384867590369,0.007879294801632075
timeEnemySpentControlled,0.6729339464123258,0.666927475694168,0.0060064707181578525
killParticipation,0.4384955509663106,0.44326844775867025,0.004772896792359649
totalDamageTaken,0.9123141473749077,0.9165918303464711,0.00427768297156339
turretPlates,0.17946165186723312,0.1754750283584634,0.0039866235087697155
jungleMinionsKilled,0.953332876272051,0.9504307209309993,0.0029021553410516487
level,0.9703015077282815,0.9681804533542625,0.0021210543740189935
xp,0.9826140188521336,0.982358040283241,0.00025597856889258974
